,B.1.1.7,B.1.351,P.1,B.1.617.2,B.1.617.1,undetermined,city,k
2021-06-27,0.1052417029291706,0.09280384490432575,0.0367217447643476,0.19104114553913826,0.08922158765067768,0.48496997421234017,Lausanne (VD),43.0
2021-06-29,0.06331764345671322,0.09445422886344655,0.03318483533422588,0.19469213392167833,0.08006935785089195,0.5342818005730442,Lausanne (VD),43.0
2021-06-16,0.48988084421837585,0.04192909814722802,0.04720618919573648,0.13597464573735848,0.002182575991501271,0.28282664670979973,Lausanne (VD),43.0
2021-06-17,0.502033573577263,0.04239944044377376,0.04615549304358922,0.13999977400645933,0.006137802130522326,0.2632739167983923,Lausanne (VD),43.0
2021-06-18,0.5131254886632676,0.0427117728395197,0.044962677435066906,0.14497678177986173,0.012341901677763153,0.24188137760452105,Lausanne (VD),43.0
2021-06-19,0.5193906514549179,0.043159273528273215,0.04388680856209242,0.1512527078326886,0.02121344468759715,0.22109711393443077,Lausanne (VD),43.0
2021-06-09,0.5255302002339277,0.030491014123656734,0.04085920104761982,0.10616474614811632,0.005664022726542558,0.29129081572013665,Lausanne (VD),43.0
2021-06-10,0.5004737664501822,0.032678025896966,0.04334204723209285,0.11313953006244006,0.004006898751459435,0.3063597316068597,Lausanne (VD),43.0
2021-06-11,0.4828577183763979,0.03481456533214688,0.04534594677556471,0.11859048725614807,0.0022964316914737826,0.3160948505682687,Lausanne (VD),43.0
2021-06-12,0.47265073221587955,0.0368086027383391,0.0468353436081084,0.12286010101430707,0.0007618406159033265,0.32008337980746254,Lausanne (VD),43.0
2021-06-13,0.46929466200244435,0.038589121386306956,0.04778294861933587,0.1262541191306369,0.0,0.31807914886127586,Lausanne (VD),43.0
2021-06-14,0.47187313668305464,0.040069855828990496,0.048149477357124666,0.129261468230296,0.0,0.31064606190053423,Lausanne (VD),43.0
2021-06-15,0.4792172419502698,0.04115934274884249,0.0479088896926225,0.13256992204164725,4.3309087862847614e-05,0.29910129447875505,Lausanne (VD),43.0
2021-06-02,0.7795357259336333,0.01934101710160942,0.018602361216116418,0.03273424119651186,0.008336536607433859,0.14145011794469514,Lausanne (VD),43.0
2021-06-03,0.7505265547553158,0.02017267687349818,0.020847083785024954,0.0416469150909718,0.008779360439417726,0.15802740905577162,Lausanne (VD),43.0
2021-06-04,0.7155710697319393,0.021325291240196862,0.02382454420960219,0.05217473621758045,0.009081721755256192,0.178022636845425,Lausanne (VD),43.0
2021-06-05,0.6763153483454206,0.022756108443193465,0.027302279531959177,0.06379472706574954,0.009136850069906116,0.20069468654377098,Lausanne (VD),43.0
2021-06-06,0.6351034201650724,0.02442616074584185,0.030986732137829674,0.07574929812179294,0.008852017200784693,0.2248823716286785,Lausanne (VD),43.0
2021-06-07,0.5946014587117325,0.026300941733060187,0.03459740178028246,0.08721307383782574,0.008171584381584914,0.24911553955551416,Lausanne (VD),43.0
