division,pangoShort,date,count,count_tot,count_tot2,frac,count_tot3
Bern,B.1.1.7,2020-06-11,0,0,0,0.0,1
Bern,B.1.351,2020-06-11,0,0,0,0.0,1
Bern,B.1.617.1,2020-06-11,0,0,0,0.0,1
Bern,B.1.617.2,2020-06-11,0,0,0,0.0,1
Bern,other,2020-06-11,1,1,1,1.0,1
Bern,B.1.1.28,2020-06-12,0,0,0,,0
Bern,B.1.1.7,2020-06-12,0,0,0,,0
Bern,B.1.351,2020-06-12,0,0,0,,0
Bern,B.1.617.1,2020-06-12,0,0,0,,0
Bern,B.1.617.2,2020-06-12,0,0,0,,0
Bern,other,2020-06-12,0,0,0,,0
Bern,B.1.1.28,2020-06-13,0,0,0,,0
Bern,B.1.1.7,2020-06-13,0,0,0,,0
Bern,B.1.351,2020-06-13,0,0,0,,0
Bern,B.1.617.1,2020-06-13,0,0,0,,0
Bern,B.1.617.2,2020-06-13,0,0,0,,0
Bern,other,2020-06-13,0,0,0,,0
Bern,B.1.1.28,2020-06-15,0,0,0,0.0,1
Bern,B.1.1.7,2020-06-15,1,1,1,1.0,1
Bern,B.1.351,2020-06-15,0,0,0,0.0,1
Bern,B.1.617.1,2020-06-15,0,0,0,0.0,1
Bern,B.1.617.2,2020-06-15,0,0,0,0.0,1
Bern,other,2020-06-15,0,0,0,0.0,1
Bern,B.1.1.28,2020-06-17,0,0,0,,0
Bern,B.1.1.7,2020-06-17,0,0,0,,0
Bern,B.1.351,2020-06-17,0,0,0,,0
Bern,B.1.617.1,2020-06-17,0,0,0,,0
Bern,B.1.617.2,2020-06-17,0,0,0,,0
Bern,other,2020-06-17,0,0,0,,0
Bern,B.1.1.28,2020-06-19,0,0,0,,0
Bern,B.1.1.7,2020-06-19,0,0,0,,0
Bern,B.1.351,2020-06-19,0,0,0,,0
Bern,B.1.617.1,2020-06-19,0,0,0,,0
Bern,B.1.617.2,2020-06-19,0,0,0,,0
Bern,other,2020-06-19,0,0,0,,0
Bern,B.1.1.28,2020-06-20,0,0,0,,0
Bern,B.1.1.7,2020-06-20,0,0,0,,0
Bern,B.1.351,2020-06-20,0,0,0,,0
Bern,B.1.617.1,2020-06-20,0,0,0,,0
Bern,B.1.617.2,2020-06-20,0,0,0,,0
Bern,other,2020-06-20,0,0,0,,0
Bern,B.1.1.28,2020-06-22,0,0,0,,0
Bern,B.1.1.7,2020-06-22,0,0,0,,0
Bern,B.1.351,2020-06-22,0,0,0,,0
Bern,B.1.617.1,2020-06-22,0,0,0,,0
Bern,B.1.617.2,2020-06-22,0,0,0,,0
Bern,other,2020-06-22,0,0,0,,0
Bern,B.1.1.28,2020-06-23,0,0,0,0.0,2
Bern,B.1.1.7,2020-06-23,0,0,0,0.0,2
Bern,B.1.351,2020-06-23,0,0,0,0.0,2
Bern,B.1.617.1,2020-06-23,0,0,0,0.0,2
Bern,B.1.617.2,2020-06-23,0,0,0,0.0,2
Bern,other,2020-06-23,2,4,2,1.0,2
Bern,B.1.1.28,2020-06-24,0,0,0,,0
Bern,B.1.1.7,2020-06-24,0,0,0,,0
Bern,B.1.351,2020-06-24,0,0,0,,0
Bern,B.1.617.1,2020-06-24,0,0,0,,0
Bern,B.1.617.2,2020-06-24,0,0,0,,0
Bern,other,2020-06-24,0,0,0,,0
Bern,B.1.1.28,2020-06-25,0,0,0,0.0,1
Bern,B.1.1.7,2020-06-25,0,0,0,0.0,1
Bern,B.1.351,2020-06-25,0,0,0,0.0,1
Bern,B.1.617.1,2020-06-25,0,0,0,0.0,1
Bern,B.1.617.2,2020-06-25,0,0,0,0.0,1
Bern,other,2020-06-25,1,1,1,1.0,1
Bern,B.1.1.28,2020-06-26,0,0,0,0.0,1
Bern,B.1.1.7,2020-06-26,0,0,0,0.0,1
Bern,B.1.351,2020-06-26,0,0,0,0.0,1
Bern,B.1.617.1,2020-06-26,0,0,0,0.0,1
Bern,B.1.617.2,2020-06-26,0,0,0,0.0,1
Bern,other,2020-06-26,1,1,1,1.0,1
Bern,B.1.1.28,2020-06-27,0,0,0,,0
Bern,B.1.1.7,2020-06-27,0,0,0,,0
Bern,B.1.351,2020-06-27,0,0,0,,0
Bern,B.1.617.1,2020-06-27,0,0,0,,0
Bern,B.1.617.2,2020-06-27,0,0,0,,0
Bern,other,2020-06-27,0,0,0,,0
Bern,B.1.1.28,2020-06-29,0,0,0,0.0,4
Bern,B.1.1.7,2020-06-29,1,2,4,0.25,4
Bern,B.1.351,2020-06-29,0,0,0,0.0,4
Bern,B.1.617.1,2020-06-29,0,0,0,0.0,4
Bern,B.1.617.2,2020-06-29,0,0,0,0.0,4
Bern,other,2020-06-29,3,6,4,0.75,4
Bern,B.1.1.28,2020-06-30,0,0,0,,0
Bern,B.1.1.7,2020-06-30,0,0,0,,0
Bern,B.1.351,2020-06-30,0,0,0,,0
Bern,B.1.617.1,2020-06-30,0,0,0,,0
Bern,B.1.617.2,2020-06-30,0,0,0,,0
Bern,other,2020-06-30,0,0,0,,0
Bern,B.1.1.28,2020-07-01,0,0,0,,0
Bern,B.1.1.7,2020-07-01,0,0,0,,0
Bern,B.1.351,2020-07-01,0,0,0,,0
Bern,B.1.617.1,2020-07-01,0,0,0,,0
Bern,B.1.617.2,2020-07-01,0,0,0,,0
Bern,other,2020-07-01,0,0,0,,0
Bern,B.1.1.28,2020-07-02,0,0,0,,0
Bern,B.1.1.7,2020-07-02,0,0,0,,0
Bern,B.1.351,2020-07-02,0,0,0,,0
Bern,B.1.617.1,2020-07-02,0,0,0,,0
Bern,B.1.617.2,2020-07-02,0,0,0,,0
Bern,other,2020-07-02,0,0,0,,0
Bern,B.1.1.28,2020-07-03,0,0,0,0.0,1
Bern,B.1.1.7,2020-07-03,0,0,0,0.0,1
Bern,B.1.351,2020-07-03,0,0,0,0.0,1
Bern,B.1.617.1,2020-07-03,0,0,0,0.0,1
Bern,B.1.617.2,2020-07-03,0,0,0,0.0,1
Bern,other,2020-07-03,1,1,1,1.0,1
Bern,B.1.1.28,2020-07-04,0,0,0,0.0,3
Bern,B.1.1.7,2020-07-04,0,0,0,0.0,3
Bern,B.1.351,2020-07-04,0,0,0,0.0,3
Bern,B.1.617.1,2020-07-04,0,0,0,0.0,3
Bern,B.1.617.2,2020-07-04,0,0,0,0.0,3
Bern,other,2020-07-04,3,9,3,1.0,3
Bern,B.1.1.28,2020-07-06,0,0,0,0.0,1
Bern,B.1.1.7,2020-07-06,0,0,0,0.0,1
Bern,B.1.351,2020-07-06,0,0,0,0.0,1
Bern,B.1.617.1,2020-07-06,0,0,0,0.0,1
Bern,B.1.617.2,2020-07-06,0,0,0,0.0,1
Bern,other,2020-07-06,1,1,1,1.0,1
Bern,B.1.1.28,2020-07-07,0,0,0,0.0,1
Bern,B.1.1.7,2020-07-07,1,1,1,1.0,1
Bern,B.1.351,2020-07-07,0,0,0,0.0,1
Bern,B.1.617.1,2020-07-07,0,0,0,0.0,1
Bern,B.1.617.2,2020-07-07,0,0,0,0.0,1
