,city,index,variant,estimate,frac
143,Altenrhein (SG),2021-02-24,undetermined,lower,0.40151849044254395
144,Altenrhein (SG),2021-02-25,B.1.1.7,lower,0.44234246998001325
145,Altenrhein (SG),2021-02-25,B.1.351,lower,0.0
146,Altenrhein (SG),2021-02-25,B.1.617.1,lower,0.0
147,Altenrhein (SG),2021-02-25,B.1.617.2,lower,0.0
148,Altenrhein (SG),2021-02-25,P.1,lower,0.0
149,Altenrhein (SG),2021-02-25,undetermined,lower,0.37989635258555193
150,Altenrhein (SG),2021-02-26,B.1.1.7,lower,0.468777446757119
151,Altenrhein (SG),2021-02-26,B.1.351,lower,0.0
152,Altenrhein (SG),2021-02-26,B.1.617.1,lower,0.0
153,Altenrhein (SG),2021-02-26,B.1.617.2,lower,0.0
154,Altenrhein (SG),2021-02-26,P.1,lower,0.0
155,Altenrhein (SG),2021-02-26,undetermined,lower,0.35320963980834297
156,Altenrhein (SG),2021-02-27,B.1.1.7,lower,0.49633450769273646
157,Altenrhein (SG),2021-02-27,B.1.351,lower,0.0
158,Altenrhein (SG),2021-02-27,B.1.617.1,lower,0.0
159,Altenrhein (SG),2021-02-27,B.1.617.2,lower,0.0
160,Altenrhein (SG),2021-02-27,P.1,lower,0.0
161,Altenrhein (SG),2021-02-27,undetermined,lower,0.32354451855924693
162,Altenrhein (SG),2021-02-28,B.1.1.7,lower,0.5256688648396097
163,Altenrhein (SG),2021-02-28,B.1.351,lower,0.0
164,Altenrhein (SG),2021-02-28,B.1.617.1,lower,1.926260450627671e-05
165,Altenrhein (SG),2021-02-28,B.1.617.2,lower,0.0
166,Altenrhein (SG),2021-02-28,P.1,lower,0.0
167,Altenrhein (SG),2021-02-28,undetermined,lower,0.2970783869634056
168,Altenrhein (SG),2021-03-01,B.1.1.7,lower,0.5510732608619191
169,Altenrhein (SG),2021-03-01,B.1.351,lower,0.0
170,Altenrhein (SG),2021-03-01,B.1.617.1,lower,0.0
171,Altenrhein (SG),2021-03-01,B.1.617.2,lower,0.0
172,Altenrhein (SG),2021-03-01,P.1,lower,0.0
173,Altenrhein (SG),2021-03-01,undetermined,lower,0.2705787053391219
174,Altenrhein (SG),2021-03-02,B.1.1.7,lower,0.570280525773316
175,Altenrhein (SG),2021-03-02,B.1.351,lower,0.0
176,Altenrhein (SG),2021-03-02,B.1.617.1,lower,0.0
177,Altenrhein (SG),2021-03-02,B.1.617.2,lower,0.0
178,Altenrhein (SG),2021-03-02,P.1,lower,0.0
179,Altenrhein (SG),2021-03-02,undetermined,lower,0.24641266179004068
180,Altenrhein (SG),2021-03-03,B.1.1.7,lower,0.5907071347797018
181,Altenrhein (SG),2021-03-03,B.1.351,lower,0.0
182,Altenrhein (SG),2021-03-03,B.1.617.1,lower,0.0
183,Altenrhein (SG),2021-03-03,B.1.617.2,lower,0.0
184,Altenrhein (SG),2021-03-03,P.1,lower,0.0
185,Altenrhein (SG),2021-03-03,undetermined,lower,0.22393067600366642
186,Altenrhein (SG),2021-03-04,B.1.1.7,lower,0.6055403792841932
187,Altenrhein (SG),2021-03-04,B.1.351,lower,0.0
188,Altenrhein (SG),2021-03-04,B.1.617.1,lower,0.0
189,Altenrhein (SG),2021-03-04,B.1.617.2,lower,0.0
190,Altenrhein (SG),2021-03-04,P.1,lower,0.0
191,Altenrhein (SG),2021-03-04,undetermined,lower,0.20455276267560618
192,Altenrhein (SG),2021-03-05,B.1.1.7,lower,0.6240751638038317
193,Altenrhein (SG),2021-03-05,B.1.351,lower,0.0
194,Altenrhein (SG),2021-03-05,B.1.617.1,lower,0.0
195,Altenrhein (SG),2021-03-05,B.1.617.2,lower,0.0
196,Altenrhein (SG),2021-03-05,P.1,lower,0.0
197,Altenrhein (SG),2021-03-05,undetermined,lower,0.1869824046643452
198,Altenrhein (SG),2021-03-06,B.1.1.7,lower,0.6439891679822989
199,Altenrhein (SG),2021-03-06,B.1.351,lower,0.0
200,Altenrhein (SG),2021-03-06,B.1.617.1,lower,0.0
201,Altenrhein (SG),2021-03-06,B.1.617.2,lower,0.0
202,Altenrhein (SG),2021-03-06,P.1,lower,0.0
203,Altenrhein (SG),2021-03-06,undetermined,lower,0.169639358104156
204,Altenrhein (SG),2021-03-07,B.1.1.7,lower,0.6716621276145861
205,Altenrhein (SG),2021-03-07,B.1.351,lower,0.0
206,Altenrhein (SG),2021-03-07,B.1.617.1,lower,0.0
207,Altenrhein (SG),2021-03-07,B.1.617.2,lower,0.0
208,Altenrhein (SG),2021-03-07,P.1,lower,0.0
209,Altenrhein (SG),2021-03-07,undetermined,lower,0.1544703950190564
210,Altenrhein (SG),2021-03-08,B.1.1.7,lower,0.7024321719425586
211,Altenrhein (SG),2021-03-08,B.1.351,lower,0.0
212,Altenrhein (SG),2021-03-08,B.1.617.1,lower,0.0
213,Altenrhein (SG),2021-03-08,B.1.617.2,lower,0.0
214,Altenrhein (SG),2021-03-08,P.1,lower,0.0
215,Altenrhein (SG),2021-03-08,undetermined,lower,0.13746049299627539
216,Altenrhein (SG),2021-03-09,B.1.1.7,lower,0.7393163465074706
217,Altenrhein (SG),2021-03-09,B.1.351,lower,0.0
218,Altenrhein (SG),2021-03-09,B.1.617.1,lower,0.0
219,Altenrhein (SG),2021-03-09,B.1.617.2,lower,0.0
220,Altenrhein (SG),2021-03-09,P.1,lower,0.0
221,Altenrhein (SG),2021-03-09,undetermined,lower,0.11747646431513956
222,Altenrhein (SG),2021-03-10,B.1.1.7,lower,0.7775208486760709
223,Altenrhein (SG),2021-03-10,B.1.351,lower,0.0
224,Altenrhein (SG),2021-03-10,B.1.617.1,lower,0.0
225,Altenrhein (SG),2021-03-10,B.1.617.2,lower,0.0
226,Altenrhein (SG),2021-03-10,P.1,lower,0.0
227,Altenrhein (SG),2021-03-10,undetermined,lower,0.10024835433042589
228,Altenrhein (SG),2021-03-11,B.1.1.7,lower,0.8133450625155393
229,Altenrhein (SG),2021-03-11,B.1.351,lower,0.0
230,Altenrhein (SG),2021-03-11,B.1.617.1,lower,0.0
231,Altenrhein (SG),2021-03-11,B.1.617.2,lower,0.0
232,Altenrhein (SG),2021-03-11,P.1,lower,0.0
233,Altenrhein (SG),2021-03-11,undetermined,lower,0.085014602164306
234,Altenrhein (SG),2021-03-12,B.1.1.7,lower,0.8433637867896984
235,Altenrhein (SG),2021-03-12,B.1.351,lower,0.0
236,Altenrhein (SG),2021-03-12,B.1.617.1,lower,0.0
237,Altenrhein (SG),2021-03-12,B.1.617.2,lower,0.0
238,Altenrhein (SG),2021-03-12,P.1,lower,0.0
239,Altenrhein (SG),2021-03-12,undetermined,lower,0.0701296455739
240,Altenrhein (SG),2021-03-13,B.1.1.7,lower,0.8692033598763252
241,Altenrhein (SG),2021-03-13,B.1.351,lower,0.0
242,Altenrhein (SG),2021-03-13,B.1.617.1,lower,0.0
243,Altenrhein (SG),2021-03-13,B.1.617.2,lower,0.0
244,Altenrhein (SG),2021-03-13,P.1,lower,0.0
245,Altenrhein (SG),2021-03-13,undetermined,lower,0.058421824972209185
246,Altenrhein (SG),2021-03-14,B.1.1.7,lower,0.8911465420364313
247,Altenrhein (SG),2021-03-14,B.1.351,lower,0.0
248,Altenrhein (SG),2021-03-14,B.1.617.1,lower,0.0
249,Altenrhein (SG),2021-03-14,B.1.617.2,lower,0.0
250,Altenrhein (SG),2021-03-14,P.1,lower,0.0
251,Altenrhein (SG),2021-03-14,undetermined,lower,0.048638931863580315
252,Altenrhein (SG),2021-03-15,B.1.1.7,lower,0.9078913787884283
253,Altenrhein (SG),2021-03-15,B.1.351,lower,0.0
254,Altenrhein (SG),2021-03-15,B.1.617.1,lower,3.210204406007636e-05
255,Altenrhein (SG),2021-03-15,B.1.617.2,lower,0.0
256,Altenrhein (SG),2021-03-15,P.1,lower,0.0
257,Altenrhein (SG),2021-03-15,undetermined,lower,0.04072890828326628
258,Altenrhein (SG),2021-03-16,B.1.1.7,lower,0.921419279001019
259,Altenrhein (SG),2021-03-16,B.1.351,lower,0.0
260,Altenrhein (SG),2021-03-16,B.1.617.1,lower,7.243599106606257e-05
261,Altenrhein (SG),2021-03-16,B.1.617.2,lower,4.515277204259866e-05
262,Altenrhein (SG),2021-03-16,P.1,lower,0.0
263,Altenrhein (SG),2021-03-16,undetermined,lower,0.034547707436308465
264,Altenrhein (SG),2021-03-17,B.1.1.7,lower,0.9323931281327585
265,Altenrhein (SG),2021-03-17,B.1.351,lower,0.0
266,Altenrhein (SG),2021-03-17,B.1.617.1,lower,0.00010723118458719318
267,Altenrhein (SG),2021-03-17,B.1.617.2,lower,9.972144564097658e-05
268,Altenrhein (SG),2021-03-17,P.1,lower,3.3889429903081165e-05
269,Altenrhein (SG),2021-03-17,undetermined,lower,0.030285320667243563
270,Altenrhein (SG),2021-03-18,B.1.1.7,lower,0.9398367693369061
271,Altenrhein (SG),2021-03-18,B.1.351,lower,0.0
272,Altenrhein (SG),2021-03-18,B.1.617.1,lower,0.00011786171625553297
273,Altenrhein (SG),2021-03-18,B.1.617.2,lower,0.00012064182648997871
274,Altenrhein (SG),2021-03-18,P.1,lower,0.00019588068265858485
275,Altenrhein (SG),2021-03-18,undetermined,lower,0.02748747349767048
276,Altenrhein (SG),2021-03-19,B.1.1.7,lower,0.944076321378989
277,Altenrhein (SG),2021-03-19,B.1.351,lower,0.0
278,Altenrhein (SG),2021-03-19,B.1.617.1,lower,0.00012870312494725686
279,Altenrhein (SG),2021-03-19,B.1.617.2,lower,0.00014303941790183396
280,Altenrhein (SG),2021-03-19,P.1,lower,0.00019745727607076738
281,Altenrhein (SG),2021-03-19,undetermined,lower,0.025490220987759434
282,Altenrhein (SG),2021-03-20,B.1.1.7,lower,0.9440061659103337
283,Altenrhein (SG),2021-03-20,B.1.351,lower,0.0
284,Altenrhein (SG),2021-03-20,B.1.617.1,lower,0.00015445974312819805
285,Altenrhein (SG),2021-03-20,B.1.617.2,lower,0.00016329384414471714
286,Altenrhein (SG),2021-03-20,P.1,lower,0.0001907520442180338
287,Altenrhein (SG),2021-03-20,undetermined,lower,0.023946543688785835
288,Altenrhein (SG),2021-03-21,B.1.1.7,lower,0.9427987066297379
289,Altenrhein (SG),2021-03-21,B.1.351,lower,0.0
290,Altenrhein (SG),2021-03-21,B.1.617.1,lower,0.00017236423413431777
291,Altenrhein (SG),2021-03-21,B.1.617.2,lower,0.00016798024380841744
292,Altenrhein (SG),2021-03-21,P.1,lower,0.00012235061686604177
293,Altenrhein (SG),2021-03-21,undetermined,lower,0.0229932697040714
294,Altenrhein (SG),2021-03-22,B.1.1.7,lower,0.9406096703592424
295,Altenrhein (SG),2021-03-22,B.1.351,lower,0.0
296,Altenrhein (SG),2021-03-22,B.1.617.1,lower,0.0001945978575477759
297,Altenrhein (SG),2021-03-22,B.1.617.2,lower,0.00016625133085733707
298,Altenrhein (SG),2021-03-22,P.1,lower,0.0001425465515603576
299,Altenrhein (SG),2021-03-22,undetermined,lower,0.022455403723832566
300,Altenrhein (SG),2021-03-23,B.1.1.7,lower,0.9382089828893334
301,Altenrhein (SG),2021-03-23,B.1.351,lower,0.0
302,Altenrhein (SG),2021-03-23,B.1.617.1,lower,0.00020721582540346624
303,Altenrhein (SG),2021-03-23,B.1.617.2,lower,0.00017408267057084228
304,Altenrhein (SG),2021-03-23,P.1,lower,0.00012015950751001756
305,Altenrhein (SG),2021-03-23,undetermined,lower,0.022260172006479412
306,Altenrhein (SG),2021-03-24,B.1.1.7,lower,0.9371202546703431
307,Altenrhein (SG),2021-03-24,B.1.351,lower,0.0
308,Altenrhein (SG),2021-03-24,B.1.617.1,lower,0.00023806840804904293
309,Altenrhein (SG),2021-03-24,B.1.617.2,lower,0.00018767031371545286
310,Altenrhein (SG),2021-03-24,P.1,lower,0.00014614554391228178
311,Altenrhein (SG),2021-03-24,undetermined,lower,0.02267269755940775
312,Altenrhein (SG),2021-03-25,B.1.1.7,lower,0.9353905998633884
313,Altenrhein (SG),2021-03-25,B.1.351,lower,0.0
314,Altenrhein (SG),2021-03-25,B.1.617.1,lower,0.00026519038751612043
315,Altenrhein (SG),2021-03-25,B.1.617.2,lower,0.00020716326859942762
316,Altenrhein (SG),2021-03-25,P.1,lower,0.00022594362258910886
317,Altenrhein (SG),2021-03-25,undetermined,lower,0.022580888757035417
318,Altenrhein (SG),2021-03-26,B.1.1.7,lower,0.9357072915007477
319,Altenrhein (SG),2021-03-26,B.1.351,lower,0.0
320,Altenrhein (SG),2021-03-26,B.1.617.1,lower,0.0002732451120409726
321,Altenrhein (SG),2021-03-26,B.1.617.2,lower,0.00023303211826124798
322,Altenrhein (SG),2021-03-26,P.1,lower,0.00023205513128732232
323,Altenrhein (SG),2021-03-26,undetermined,lower,0.02188753447644431
324,Altenrhein (SG),2021-03-27,B.1.1.7,lower,0.9366151435704841
325,Altenrhein (SG),2021-03-27,B.1.351,lower,0.0
326,Altenrhein (SG),2021-03-27,B.1.617.1,lower,0.00030551900072424697
327,Altenrhein (SG),2021-03-27,B.1.617.2,lower,0.00025779921486256786
328,Altenrhein (SG),2021-03-27,P.1,lower,0.00026180873537786037
329,Altenrhein (SG),2021-03-27,undetermined,lower,0.020367861065178666
330,Altenrhein (SG),2021-03-28,B.1.1.7,lower,0.9396676338317669
331,Altenrhein (SG),2021-03-28,B.1.351,lower,0.0
332,Altenrhein (SG),2021-03-28,B.1.617.1,lower,0.00036858478992236827
333,Altenrhein (SG),2021-03-28,B.1.617.2,lower,0.0002992167956367507
334,Altenrhein (SG),2021-03-28,P.1,lower,0.00023779310781070175
335,Altenrhein (SG),2021-03-28,undetermined,lower,0.018130740240527226
336,Altenrhein (SG),2021-03-29,B.1.1.7,lower,0.9443852816227433
337,Altenrhein (SG),2021-03-29,B.1.351,lower,0.0
338,Altenrhein (SG),2021-03-29,B.1.617.1,lower,0.00038218348146288445
339,Altenrhein (SG),2021-03-29,B.1.617.2,lower,0.00031530855189888806
340,Altenrhein (SG),2021-03-29,P.1,lower,0.00022993686394442962
341,Altenrhein (SG),2021-03-29,undetermined,lower,0.01584817338165134
342,Altenrhein (SG),2021-03-30,B.1.1.7,lower,0.9498108043429784
343,Altenrhein (SG),2021-03-30,B.1.351,lower,0.0
344,Altenrhein (SG),2021-03-30,B.1.617.1,lower,0.0004037844170417627
345,Altenrhein (SG),2021-03-30,B.1.617.2,lower,0.0003193875177498233
346,Altenrhein (SG),2021-03-30,P.1,lower,0.00020551104944055434
347,Altenrhein (SG),2021-03-30,undetermined,lower,0.01252027840133348
348,Altenrhein (SG),2021-03-31,B.1.1.7,lower,0.9567807729301215
349,Altenrhein (SG),2021-03-31,B.1.351,lower,0.0
350,Altenrhein (SG),2021-03-31,B.1.617.1,lower,0.00039652660088586913
351,Altenrhein (SG),2021-03-31,B.1.617.2,lower,0.0002501491047592987
352,Altenrhein (SG),2021-03-31,P.1,lower,1.2652832010554365e-06
353,Altenrhein (SG),2021-03-31,undetermined,lower,0.009438749168135748
354,Altenrhein (SG),2021-04-01,B.1.1.7,lower,0.9630884297553877
355,Altenrhein (SG),2021-04-01,B.1.351,lower,0.0
356,Altenrhein (SG),2021-04-01,B.1.617.1,lower,0.0003850324018533303
357,Altenrhein (SG),2021-04-01,B.1.617.2,lower,0.00024375236725380679
358,Altenrhein (SG),2021-04-01,P.1,lower,0.0
359,Altenrhein (SG),2021-04-01,undetermined,lower,0.006366946648765359
360,Altenrhein (SG),2021-04-02,B.1.1.7,lower,0.9676607444918137
361,Altenrhein (SG),2021-04-02,B.1.351,lower,0.0
362,Altenrhein (SG),2021-04-02,B.1.617.1,lower,0.0003579945782325726
363,Altenrhein (SG),2021-04-02,B.1.617.2,lower,0.00020646756376688463
364,Altenrhein (SG),2021-04-02,P.1,lower,0.0
365,Altenrhein (SG),2021-04-02,undetermined,lower,0.0033015887611968957
366,Altenrhein (SG),2021-04-03,B.1.1.7,lower,0.9719435269358742
367,Altenrhein (SG),2021-04-03,B.1.351,lower,0.0
368,Altenrhein (SG),2021-04-03,B.1.617.1,lower,0.0003188882030822021
369,Altenrhein (SG),2021-04-03,B.1.617.2,lower,0.00017065973181964463
370,Altenrhein (SG),2021-04-03,P.1,lower,0.0
371,Altenrhein (SG),2021-04-03,undetermined,lower,0.0008713298445896232
372,Altenrhein (SG),2021-04-04,B.1.1.7,lower,0.9756337133639678
373,Altenrhein (SG),2021-04-04,B.1.351,lower,0.0
374,Altenrhein (SG),2021-04-04,B.1.617.1,lower,0.0002943155296596552
375,Altenrhein (SG),2021-04-04,B.1.617.2,lower,0.00014071567722607198
376,Altenrhein (SG),2021-04-04,P.1,lower,0.0
377,Altenrhein (SG),2021-04-04,undetermined,lower,0.0
378,Altenrhein (SG),2021-04-05,B.1.1.7,lower,0.9788885059577321
379,Altenrhein (SG),2021-04-05,B.1.351,lower,0.0
380,Altenrhein (SG),2021-04-05,B.1.617.1,lower,0.00022461507776348302
381,Altenrhein (SG),2021-04-05,B.1.617.2,lower,0.00010274390743493187
382,Altenrhein (SG),2021-04-05,P.1,lower,0.0
383,Altenrhein (SG),2021-04-05,undetermined,lower,0.0
384,Altenrhein (SG),2021-04-06,B.1.1.7,lower,0.9823027876011565
385,Altenrhein (SG),2021-04-06,B.1.351,lower,0.0
386,Altenrhein (SG),2021-04-06,B.1.617.1,lower,0.00014653784000791728
387,Altenrhein (SG),2021-04-06,B.1.617.2,lower,6.959394161994175e-05
388,Altenrhein (SG),2021-04-06,P.1,lower,0.0
389,Altenrhein (SG),2021-04-06,undetermined,lower,0.0
390,Altenrhein (SG),2021-04-07,B.1.1.7,lower,0.9849753905160059
391,Altenrhein (SG),2021-04-07,B.1.351,lower,0.0
392,Altenrhein (SG),2021-04-07,B.1.617.1,lower,8.302045670219325e-05
393,Altenrhein (SG),2021-04-07,B.1.617.2,lower,6.034218601515434e-06
394,Altenrhein (SG),2021-04-07,P.1,lower,0.0
