index,city,estimate,variant,frac
2021-03-16,Lugano (TI),robust,B.1.1.7,0.9330308112145551
2021-03-17,Lugano (TI),robust,B.1.1.7,0.9414356568004394
2021-03-18,Lugano (TI),robust,B.1.1.7,0.9500487004500284
2021-03-19,Lugano (TI),robust,B.1.1.7,0.9577821761161083
2021-03-20,Lugano (TI),robust,B.1.1.7,0.9639103707167591
2021-03-21,Lugano (TI),robust,B.1.1.7,0.9681651987638527
2021-03-22,Lugano (TI),robust,B.1.1.7,0.9706160407228397
2021-03-23,Lugano (TI),robust,B.1.1.7,0.9715065901589031
2021-03-24,Lugano (TI),robust,B.1.1.7,0.9711383934343041
2021-03-25,Lugano (TI),robust,B.1.1.7,0.9698179805003286
2021-03-26,Lugano (TI),robust,B.1.1.7,0.9678576221323552
2021-03-27,Lugano (TI),robust,B.1.1.7,0.9656042635541725
2021-03-28,Lugano (TI),robust,B.1.1.7,0.9634467934182324
2021-03-29,Lugano (TI),robust,B.1.1.7,0.9617641906244325
2021-03-30,Lugano (TI),robust,B.1.1.7,0.9608293472668458
2021-03-31,Lugano (TI),robust,B.1.1.7,0.9607255908781628
2021-04-01,Lugano (TI),robust,B.1.1.7,0.9613379985830399
2021-04-02,Lugano (TI),robust,B.1.1.7,0.9624316352012461
2021-04-03,Lugano (TI),robust,B.1.1.7,0.9637599464579905
2021-04-04,Lugano (TI),robust,B.1.1.7,0.9651339261215715
2021-04-05,Lugano (TI),robust,B.1.1.7,0.9664332340120929
2021-04-06,Lugano (TI),robust,B.1.1.7,0.9675839548466588
2021-04-14,Lugano (TI),robust,B.1.1.7,0.9671055335195797
2021-04-15,Lugano (TI),robust,B.1.1.7,0.9660589467611257
2021-04-16,Lugano (TI),robust,B.1.1.7,0.9650043837744696
2021-04-17,Lugano (TI),robust,B.1.1.7,0.9639807922134539
2021-04-18,Lugano (TI),robust,B.1.1.7,0.9630020609464407
2021-04-19,Lugano (TI),robust,B.1.1.7,0.9620612802425819
2021-04-20,Lugano (TI),robust,B.1.1.7,0.9611320590709981
2021-04-21,Lugano (TI),robust,B.1.1.7,0.9601738743947962
2021-04-22,Lugano (TI),robust,B.1.1.7,0.9591466938186466
2021-04-23,Lugano (TI),robust,B.1.1.7,0.9580278024721062
2021-04-24,Lugano (TI),robust,B.1.1.7,0.9568241959650341
2021-04-25,Lugano (TI),robust,B.1.1.7,0.9555814816914736
2021-04-26,Lugano (TI),robust,B.1.1.7,0.954383992258249
2021-04-27,Lugano (TI),robust,B.1.1.7,0.9533380252014639
2021-04-28,Lugano (TI),robust,B.1.1.7,0.9525479315182902
2021-04-29,Lugano (TI),robust,B.1.1.7,0.9521053570002419
2021-04-30,Lugano (TI),robust,B.1.1.7,0.9521037461296921
2021-05-01,Lugano (TI),robust,B.1.1.7,0.9526649131784668
2021-05-02,Lugano (TI),robust,B.1.1.7,0.9539398821454925
2021-05-03,Lugano (TI),robust,B.1.1.7,0.956053521199211
2021-05-04,Lugano (TI),robust,B.1.1.7,0.9590087318964662
2021-04-07,Lugano (TI),robust,B.1.1.7,0.9685326545145524
2021-05-05,Lugano (TI),robust,B.1.1.7,0.9626073758080436
2021-04-08,Lugano (TI),robust,B.1.1.7,0.9692316110661686
2021-05-06,Lugano (TI),robust,B.1.1.7,0.9664583699439153
2021-04-09,Lugano (TI),robust,B.1.1.7,0.9696368932079994
2021-05-07,Lugano (TI),robust,B.1.1.7,0.9700974562113166
2021-04-10,Lugano (TI),robust,B.1.1.7,0.9697154400038346
2021-05-08,Lugano (TI),robust,B.1.1.7,0.9731309878373999
2021-04-11,Lugano (TI),robust,B.1.1.7,0.9694579782533504
2021-05-09,Lugano (TI),robust,B.1.1.7,0.9753284387212361
2021-04-12,Lugano (TI),robust,B.1.1.7,0.9688909509223473
2021-05-10,Lugano (TI),robust,B.1.1.7,0.9766079286260924
2021-05-11,Lugano (TI),robust,B.1.1.7,0.9769548927760333
2021-08-25,Zürich (ZH),robust,B.1.1.7,0.0014221163497061167
2021-08-26,Zürich (ZH),robust,B.1.1.7,0.0013771012154856863
2021-08-27,Zürich (ZH),robust,B.1.1.7,0.0013591491480375686
2021-08-28,Zürich (ZH),robust,B.1.1.7,0.0013645858095717386
2021-08-29,Zürich (ZH),robust,B.1.1.7,0.0013894381650582546
2021-08-30,Zürich (ZH),robust,B.1.1.7,0.001430210616118635
2021-08-31,Zürich (ZH),robust,B.1.1.7,0.0014841689923697542
2021-08-18,Zürich (ZH),robust,B.1.1.7,0.002322228912284205
2021-08-19,Zürich (ZH),robust,B.1.1.7,0.002169862665650969
2021-08-20,Zürich (ZH),robust,B.1.1.7,0.0020178813976998197
2021-08-21,Zürich (ZH),robust,B.1.1.7,0.0018675789581526433
2021-08-22,Zürich (ZH),robust,B.1.1.7,0.001725089929238794
2021-08-23,Zürich (ZH),robust,B.1.1.7,0.0015988042271879617
2021-08-24,Zürich (ZH),robust,B.1.1.7,0.0014962987210896412
2021-08-11,Zürich (ZH),robust,B.1.1.7,0.004528840878245188
2021-08-12,Zürich (ZH),robust,B.1.1.7,0.003933852395295215
2021-08-13,Zürich (ZH),robust,B.1.1.7,0.0034738594438249175
2021-08-14,Zürich (ZH),robust,B.1.1.7,0.003126150551499305
2021-08-15,Zürich (ZH),robust,B.1.1.7,0.002861960891075527
2021-08-16,Zürich (ZH),robust,B.1.1.7,0.00265405935834354
2021-08-17,Zürich (ZH),robust,B.1.1.7,0.002479872995135227
2021-08-04,Zürich (ZH),robust,B.1.1.7,0.010866491264001988
2021-08-05,Zürich (ZH),robust,B.1.1.7,0.010117947053271844
2021-08-06,Zürich (ZH),robust,B.1.1.7,0.009179350007595757
2021-08-07,Zürich (ZH),robust,B.1.1.7,0.00814884259629451
2021-08-08,Zürich (ZH),robust,B.1.1.7,0.007112904688824782
2021-08-09,Zürich (ZH),robust,B.1.1.7,0.006137227579835491
2021-08-10,Zürich (ZH),robust,B.1.1.7,0.00526674883621697
2021-07-28,Zürich (ZH),robust,B.1.1.7,0.007644318720676351
2021-07-29,Zürich (ZH),robust,B.1.1.7,0.00875337844058965
2021-07-30,Zürich (ZH),robust,B.1.1.7,0.009782011557709011
2021-07-31,Zürich (ZH),robust,B.1.1.7,0.01063206249173537
2021-08-01,Zürich (ZH),robust,B.1.1.7,0.011212460403999095
2021-08-02,Zürich (ZH),robust,B.1.1.7,0.011455580494195565
2021-08-03,Zürich (ZH),robust,B.1.1.7,0.011333547085040174
2021-07-21,Zürich (ZH),robust,B.1.1.7,0.0029343875692088594
2021-07-23,Zürich (ZH),robust,B.1.1.7,0.003533657155679256
2021-07-22,Zürich (ZH),robust,B.1.1.7,0.003180396118857145
2021-07-24,Zürich (ZH),robust,B.1.1.7,0.004029909126182815
2021-07-25,Zürich (ZH),robust,B.1.1.7,0.004698784801501377
2021-07-26,Zürich (ZH),robust,B.1.1.7,0.00554719381273021
2021-07-27,Zürich (ZH),robust,B.1.1.7,0.006548581655574272
2021-07-14,Zürich (ZH),robust,B.1.1.7,0.0040033379083554135
2021-07-15,Zürich (ZH),robust,B.1.1.7,0.0033613382842289947
2021-07-16,Zürich (ZH),robust,B.1.1.7,0.0029530717777296283
2021-07-17,Zürich (ZH),robust,B.1.1.7,0.0027316055515771544
2021-07-18,Zürich (ZH),robust,B.1.1.7,0.002650424034564401
2021-07-19,Zürich (ZH),robust,B.1.1.7,0.0026708899760560893
2021-07-20,Zürich (ZH),robust,B.1.1.7,0.0027681613026420476
2021-07-07,Zürich (ZH),robust,B.1.1.7,0.01782465140633702
2021-07-08,Zürich (ZH),robust,B.1.1.7,0.014876340154405305
